Symbol,marketCap,trailingPE,forwardPE,pegRatio,priceToBook,trailingEps,forwardEps,bookValue,payoutRatio,beta,fiveYearAvgDividendYield,52WeekChange,averageVolume,enterpriseToRevenue,profitMargins
CHRW,-0.30088900021834547,0.17715436785093944,0.00011224029086941316,-0.07829580312875349,-0.010299230976378224,-0.22261180110605322,-0.22663145691084666,-0.04652703238446561,0.011837719524754469,-0.5107212145084622,0.33517960162207616,-0.02720387764726076,-0.23843147190614658,-0.8803621609685911,-0.8820346203001216
CDNS,-0.10866779664475179,0.9646594328107109,0.425623575954312,-0.05411293338303374,0.23442937585630041,-0.17894895168431646,-0.1477278202680236,-0.04638518108340739,-0.17220608244338015,-0.06552430350638397,-1.19355948266851,-0.6220500719194307,-0.1953917373343081,6.028852564474399,0.8620186897253962
CZR,-0.31190307632621883,-0.9353899300287759,0.26681471633770765,-0.003328906917022243,-0.19949377207818517,-0.3886938545139677,-0.3501010364723012,-0.04615387877533859,-0.17220608244338015,4.4467318882125975,-1.19355948266851,-0.7196967173133079,-0.030461973301697157,-0.43410465575816076,-1.204913813610509
CPT,-0.3016657164193831,-0.02044498468625583,1.4595354284459467,-0.20700240988652865,-0.1862899999016335,-0.18711023195006163,-0.3406033765060355,-0.04484323626906862,0.061030696557595285,-0.30667263029917613,0.8215965829872627,-0.16086045696340193,-0.2582290918361437,1.0372689505634505,0.8708656393015967
COF,-0.14774105729373152,-0.5240373294839211,-0.38896717943437215,-0.45931035090020483,-0.2323636488829483,0.09771844932444541,0.17336614551457566,-0.039843560132256,-0.12485836627110625,0.9245750766909467,-0.07543213589399034,0.9151509774498587,-0.18275505741697326,-0.5140641104451056,0.2247355141177167
CAH,-0.25461963294244966,-0.027818379258938642,-0.29286859388996755,-0.08447586984154855,-0.2658016705368015,-0.1952715122158068,-0.09147244969860352,-0.04790579527299748,-0.05018820803839265,-1.0046115376513929,0.7331571318299559,-0.33529219780982195,-0.2063983963649278,-1.0235314588868614,-0.9954846858092908
KMX,-0.30573812718511906,-0.15557963132935512,-0.10065828360762089,-0.01730123165899366,-0.21031922645334755,-0.2275085692655003,-0.26352621293364814,-0.04510312055570886,-0.17220608244338015,1.4741150137091374,-1.19355948266851,-0.5000905158605906,-0.21357749736208945,-0.8293157260562273,-0.9113264399652276
CCL,-0.24941504841797327,-0.42453159171834265,-0.3148093106402583,-0.12289976288196994,-0.17206295531131288,-0.2883101072453019,-0.3376810195933383,-0.0468496911647831,-0.17220608244338015,3.825311199938864,1.4659411557047823,1.511016942963598,1.3714322886171342,-0.5850505589951115,-0.5481523536013666
CARR,-0.10503313968988011,-0.33609642261195555,0.07921307948197315,-0.05384423483030351,-0.10860090993576675,-0.18262152780390178,-0.2869050682352254,-0.046401483397111094,-0.13010058462498955,0.3356166631777805,-1.19355948266851,0.8967415792439258,-0.11407021404021687,-0.33380638716082095,0.03760980647903009
CTLT,-0.3077915493990958,-0.9353899300287759,0.2452517658720968,-0.08044539155059525,-0.17632428204766903,-0.5710984684533726,-0.3311057165397697,-0.04615488443754758,-0.17220608244338015,0.24982350845342183,-1.19355948266851,0.10205377205974984,-0.2151504242911451,-0.33300878661531524,-2.7933635034826496
CAT,0.27505412419909664,-0.4388275735760915,-0.1779967344074069,-0.03530403469191837,0.06205958398644913,0.5584227203257612,0.4272459023051405,-0.045338974808513115,-0.12250985244856653,0.10606200594233389,0.18988621757792953,0.5256874899521639,-0.16950345700850517,-0.38086481934565625,0.20956903870662913
CBOE,-0.2711479836938855,-0.11925312831583512,-0.008078686654865766,-0.05599382325214527,-0.10242539423493452,-0.04143137920651006,-0.06553653209841628,-0.04517743369999458,-0.10831392514625059,-0.8724437046976508,-0.2838965564790703,-0.07361829755008703,-0.2664480687572618,0.1519323450521409,0.47973796830949067
CBRE,-0.22042737218072767,0.21768697353475036,-0.07266563694939536,-0.061905191412210105,-0.13442382578626821,-0.21485858485359524,-0.18498787090491228,-0.04574065746662162,-0.17220608244338015,0.8225507845863036,-1.19355948266851,1.270654859099503,-0.2235990535338244,-0.7858464963261675,-0.8161651593920609
CDW,-0.24784168878931812,-0.18816658187685426,-0.09550323389291596,-0.04900766088115957,0.1332482925448579,-0.0026652979442204194,-0.001609974633166144,-0.04634717763782538,-0.10925752025617488,-0.035380762657284626,-0.5049951843723368,-0.6935438047052366,-0.2661099147072217,-0.7152588480489144,-0.6298572587494676
CE,-0.29533184811612256,-0.722944563625055,-0.365451466975925,-0.10435956274358478,-0.20489542905759733,0.384995514678676,0.055375985164428286,-0.04373743127589392,-0.13897041807976007,0.5744462560591037,0.17093490661564967,-0.5408799018660558,-0.2633973714952496,-0.5324089229917364,0.33260973016210854
